Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 172,C=CC(=O)Nc1ccc2c(c1)sc(n2)OC,C11H10N2O2S,234.27,16,9,0.09,4,3,1,64.76,79.46,2.33,2.86,2.24,1.28,2.98,2.34,-3.25,1.33e-01,5.67e-04,Soluble,-4.19,1.52e-02,6.49e-05,Moderately soluble,-3.55,6.59e-02,2.81e-04,Soluble,High,No,No,Yes,Yes,Yes,No,No,-5.7,0,0,0,0,0,0.55,0,1,1,2.63
Molecule 173,ClCC(=O)Nc1cc(C)c(cc1OC)Cl,C10H11Cl2NO2,248.11,15,6,0.3,4,2,1,62.02,38.33,2.4,2.68,2.64,2.38,3.06,2.63,-3.1,1.98e-01,7.97e-04,Soluble,-3.14,1.81e-01,7.29e-04,Soluble,-4.55,6.91e-03,2.79e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.91,0,0,0,0,0,0.55,0,1,1,1.77
Molecule 174,C=CC(=O)Nc1ccc(c(c1)OC)N1CCCC1=O,C14H16N2O3,260.29,19,6,0.29,5,3,1,76.42,58.64,2.08,1.08,1.37,1.08,1.92,1.51,-2.04,2.39e+00,9.16e-03,Soluble,-1.9,3.25e+00,1.25e-02,Very soluble,-3.31,1.28e-01,4.91e-04,Soluble,High,Yes,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,1,0,2.1
Molecule 175,ClCC(=O)Nc1scc(n1)c1ccc(cc1)OC,C12H11ClN2O2S,282.75,18,11,0.17,5,3,1,73.15,79.46,1.77,2.72,2.81,0.93,3.71,2.39,-3.43,1.05e-01,3.73e-04,Soluble,-4.04,2.56e-02,9.07e-05,Moderately soluble,-4.96,3.12e-03,1.10e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.09,0,0,0,0,0,0.55,0,1,0,2.54
Molecule 176,C=CC(=O)NC1(CCOCC1)c1ccc(c(c1)F)OC,C15H18FNO3,279.31,20,6,0.4,5,4,1,72.89,47.56,2.53,1.89,2.45,1.7,3.36,2.39,-2.65,6.19e-01,2.22e-03,Soluble,-2.51,8.61e-01,3.08e-03,Soluble,-4.37,1.20e-02,4.31e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.66,0,0,0,0,0,0.55,0,1,0,2.21
Molecule 177,C=CC(=O)N[C@@H]1CCO[C@H]1c1ccc(nc1)OC,C13H16N2O3,248.28,18,6,0.38,5,4,1,66.04,60.45,1.97,0.94,0.9,0.36,1.74,1.18,-1.89,3.21e+00,1.29e-02,Very soluble,-1.8,3.97e+00,1.60e-02,Very soluble,-2.99,2.52e-01,1.02e-03,Soluble,High,Yes,No,No,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,1,1,3.12
Molecule 178,ClCC(=O)N1CCCC1c1ccc(cc1OC)OC,C14H18ClNO3,283.75,19,6,0.5,5,3,0,78.12,38.77,2.75,2.3,1.9,1.66,2.78,2.28,-2.95,3.17e-01,1.12e-03,Soluble,-2.75,5.02e-01,1.77e-03,Soluble,-3.83,4.17e-02,1.47e-04,Soluble,High,Yes,No,No,Yes,No,Yes,No,-6.4,0,0,0,0,0,0.55,0,1,0,2.53
Molecule 179,ClCC(=O)N(Cc1ccc(cc1)OC)C,C11H14ClNO2,227.69,15,6,0.36,5,2,0,60.21,29.54,2.31,1.81,1.74,1.84,2.19,1.98,-2.36,9.99e-01,4.39e-03,Soluble,-2.05,2.03e+00,8.92e-03,Soluble,-3.63,5.34e-02,2.34e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.4,0,0,0,0,0,0.55,0,1,1,1.36
Molecule 180,ClCC(=O)Nc1cc(Cl)ccc1OC,C9H9Cl2NO2,234.08,14,6,0.22,4,2,1,57.05,38.33,2.15,3.02,2.34,2.09,2.56,2.43,-3.25,1.33e-01,5.66e-04,Soluble,-3.49,7.57e-02,3.24e-04,Soluble,-4.17,1.58e-02,6.76e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.58,0,0,0,0,0,0.55,0,1,1,1.66
Molecule 181,C=CC(=O)Nc1ccc(nc1)OC,C9H10N2O2,178.19,13,6,0.11,4,3,1,49.37,51.22,1.83,0.92,1.02,0.31,1.21,1.06,-1.6,4.46e+00,2.50e-02,Very soluble,-1.58,4.67e+00,2.62e-02,Very soluble,-2.6,4.51e-01,2.53e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.73,0,0,0,0,1,0.55,0,1,1,2.09
Molecule 182,ClCC(=O)Nc1ccc(c(c1)OC)OC,C10H12ClNO3,229.66,15,6,0.3,5,3,1,58.53,47.56,1.81,1.98,1.69,1.24,1.95,1.73,-2.48,7.65e-01,3.33e-03,Soluble,-2.6,5.71e-01,2.49e-03,Soluble,-3.68,4.78e-02,2.08e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.3,0,0,0,0,0,0.55,0,1,1,1.79
Molecule 183,C=CC(=O)N1CCCc2c(C1)ccc(c2)OC,C14H17NO2,231.29,17,6,0.36,3,2,0,71.32,29.54,2.58,2.17,1.62,1.9,2.76,2.21,-2.7,4.57e-01,1.98e-03,Soluble,-2.42,8.73e-01,3.77e-03,Soluble,-3.37,9.80e-02,4.24e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.17,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 184,ClCC(=O)Nc1nc2c(s1)cc(cc2)OC,C10H9ClN2O2S,256.71,16,9,0.2,4,3,1,65.22,79.46,1.6,2.48,2.29,1.36,3.15,2.18,-3.15,1.83e-01,7.14e-04,Soluble,-3.79,4.13e-02,1.61e-04,Soluble,-4.12,1.93e-02,7.53e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.11,0,0,0,0,0,0.55,0,1,0,2.46
Molecule 185,C=CC(=O)NC(c1oc2c(c1C)cc(cc2)OC)C,C15H17NO3,259.3,19,9,0.27,5,3,1,74.39,51.47,3.02,2.8,2.79,1.41,3.37,2.68,-3.23,1.52e-01,5.86e-04,Soluble,-3.54,7.52e-02,2.90e-04,Soluble,-4.69,5.32e-03,2.05e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.89,0,0,0,0,0,0.55,0,1,0,3.1
Molecule 186,ClCC(=O)N1CCCC1c1cccc(c1)OC,C13H16ClNO2,253.72,17,6,0.46,4,2,0,71.63,29.54,2.48,2.33,1.89,1.98,2.74,2.28,-2.88,3.36e-01,1.32e-03,Soluble,-2.59,6.53e-01,2.57e-03,Soluble,-3.71,4.90e-02,1.93e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.19,0,0,0,0,0,0.55,0,1,0,2.21
Molecule 187,ClCC(=O)N(Cc1cccc(c1)OC)C,C11H14ClNO2,227.69,15,6,0.36,5,2,0,60.21,29.54,2.28,1.81,1.74,1.84,2.19,1.97,-2.36,9.99e-01,4.39e-03,Soluble,-2.05,2.03e+00,8.92e-03,Soluble,-3.63,5.34e-02,2.34e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.4,0,0,0,0,0,0.55,0,1,1,1.44
Molecule 188,C=CC(=O)N1CCc2c(CC1)cccc2OC,C14H17NO2,231.29,17,6,0.36,3,2,0,71.32,29.54,2.58,2.28,1.43,1.9,2.76,2.19,-2.77,3.90e-01,1.68e-03,Soluble,-2.54,6.71e-01,2.90e-03,Soluble,-3.37,9.80e-02,4.24e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.09,0,0,0,0,0,0.55,0,1,1,2.1
Molecule 189,C=CC(=O)N1CCCCc2c1cccc2OC,C14H17NO2,231.29,17,6,0.36,3,2,0,71.88,29.54,2.63,2.59,2.17,2.17,2.76,2.46,-2.97,2.48e-01,1.07e-03,Soluble,-2.86,3.20e-01,1.38e-03,Soluble,-3.37,9.80e-02,4.24e-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.87,0,0,0,0,0,0.55,0,1,1,2.33
Molecule 190,ClCC(=O)NC(c1ccccc1OC)C,C11H14ClNO2,227.69,15,6,0.36,5,2,1,60.12,38.33,2.11,2.03,1.79,1.84,2.46,2.05,-2.5,7.26e-01,3.19e-03,Soluble,-2.46,7.85e-01,3.45e-03,Soluble,-3.99,2.34e-02,1.03e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,0,0,0,0,0.55,0,1,1,1.96
Molecule 191,COCC1(COCC1)NC(=O)C=C,C9H15NO3,185.22,13,0,0.67,5,3,1,48,47.56,2.04,-0.15,0.09,-0.36,1.29,0.58,-0.56,5.06e+01,2.73e-01,Very soluble,-0.39,7.47e+01,4.03e-01,Very soluble,-1.7,3.71e+00,2.00e-02,Soluble,High,No,No,No,No,No,No,No,-7.54,0,0,0,0,1,0.55,0,1,1,2.64
Molecule 192,COCn1ncc(c1)NC(=O)C=C,C8H11N3O2,181.19,13,5,0.25,5,3,1,48.03,56.15,1.65,-0.12,0.27,-0.25,0.06,0.32,-0.84,2.60e+01,1.44e-01,Very soluble,-0.61,4.49e+01,2.48e-01,Very soluble,-1.39,7.42e+00,4.09e-02,Soluble,High,No,No,No,No,No,No,No,-7.49,0,0,0,0,1,0.55,0,1,1,2.39
Molecule 193,C=CC(=O)N1CC(C1)S(=O)(=O)C,C7H11NO3S,189.23,12,0,0.57,3,3,0,49.15,62.83,1.09,-0.47,0.13,-0.39,-0.1,0.05,-0.52,5.73e+01,3.03e-01,Very soluble,-0.38,7.84e+01,4.14e-01,Very soluble,-0.53,5.64e+01,2.98e-01,Soluble,High,No,No,Yes,No,No,No,No,-7.79,0,0,0,0,1,0.55,0,1,1,2.13
Molecule 194,C=CC(=O)NC1(COCC1)c1ccc(cc1)S(=O)(=O)C,C14H17NO4S,295.35,20,6,0.36,5,4,1,74.73,80.85,1.75,0.7,1.98,0.87,1.99,1.46,-2,2.93e+00,9.90e-03,Soluble,-1.98,3.13e+00,1.06e-02,Very soluble,-3.99,3.05e-02,1.03e-04,Soluble,High,No,No,No,No,No,No,No,-7.6,0,0,0,0,0,0.55,0,1,0,2.76
Molecule 195,ClCC(=O)Nc1ccc(cc1)S(=O)(=O)C,C9H10ClNO3S,247.7,15,6,0.22,4,3,1,58.64,71.62,0.95,1.2,2.16,1.33,1.24,1.37,-2.16,1.70e+00,6.86e-03,Soluble,-2.3,1.24e+00,5.01e-03,Soluble,-3.74,4.54e-02,1.83e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.96,0,0,0,0,0,0.55,0,1,1,1.74
Molecule 196,C=CC(=O)N1CCCc2c1cc(cc2)S(=O)(=O)C,C13H15NO3S,265.33,18,6,0.31,3,3,0,73.68,62.83,1.84,1.5,2.26,1.7,1.8,1.82,-2.48,8.81e-01,3.32e-03,Soluble,-2.43,9.92e-01,3.74e-03,Soluble,-3.27,1.42e-01,5.33e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.85,0,0,0,0,0,0.55,0,1,0,2.33
Molecule 197,ClCC(=O)N1CCN(CC1)Cc1ccccc1.Cl,C13H18Cl2N2O,289.2,18,6,0.46,4,2,0,83.72,23.55,0,2.45,1.46,1.97,2.23,1.62,-3.16,2.00e-01,6.93e-04,Soluble,-2.59,7.47e-01,2.58e-03,Soluble,-3.56,8.00e-02,2.77e-04,Soluble,High,Yes,Yes,No,No,No,No,No,-6.32,0,0,0,0,0,0.55,0,1,0,1.75
Molecule 198,ClCC(=O)NCCN1CCc2c1cccc2.Cl,C12H16Cl2N2O,275.17,17,6,0.42,5,1,1,75.62,32.34,0,2.82,1.83,1.98,2.31,1.79,-3.25,1.53e-01,5.57e-04,Soluble,-3.16,1.92e-01,6.97e-04,Soluble,-4.12,2.08e-02,7.55e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.98,0,0,0,0,0,0.55,0,1,0,1.93
Molecule 199,C=CC(=O)NCC1(CC1)c1ccc(cc1)Cl,C13H14ClNO,235.71,16,6,0.31,5,1,1,65.56,29.1,2.67,3,2.61,2.78,3.75,2.96,-3.14,1.71e-01,7.26e-04,Soluble,-3.28,1.25e-01,5.30e-04,Soluble,-4.69,4.81e-03,2.04e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.61,0,0,0,0,0,0.55,0,1,1,1.6
Molecule 200,C=CC(=O)NCc1nnc(o1)c1ccc(cc1)Cl,C12H10ClN3O2,263.68,18,11,0.08,5,4,1,66.66,68.02,2.51,1.78,2.04,1.64,2.75,2.14,-2.72,5.04e-01,1.91e-03,Soluble,-2.83,3.93e-01,1.49e-03,Soluble,-4.85,3.70e-03,1.40e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.64,0,0,0,0,0,0.55,0,1,0,2.59
Molecule 201,C=CC(=O)N1CCCC(C1)Oc1ccc(cn1)Cl,C13H15ClN2O2,266.72,18,6,0.38,4,3,0,73.81,42.43,2.63,2.43,1.91,1.72,2.44,2.22,-3.01,2.62e-01,9.83e-04,Soluble,-2.96,2.90e-01,1.09e-03,Soluble,-3.27,1.43e-01,5.35e-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.2,0,0,0,0,0,0.55,0,1,0,2.76
Molecule 202,Clc1cccc2c1OCC2NC(=O)C=C,C11H10ClNO2,223.66,15,6,0.18,3,2,1,57.74,38.33,2.27,2.03,1.75,1.63,2.55,2.05,-2.6,5.57e-01,2.49e-03,Soluble,-2.46,7.71e-01,3.45e-03,Soluble,-3.53,6.63e-02,2.96e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.22,0,0,0,0,0,0.55,0,1,1,2.53
Molecule 203,C=CC(=O)N1Cc2c(C1)cccc2Cl,C11H10ClNO,207.66,14,6,0.18,2,1,0,60.23,20.31,2.36,2.01,1.68,2.24,2.86,2.23,-2.58,5.48e-01,2.64e-03,Soluble,-2.06,1.79e+00,8.64e-03,Soluble,-3.3,1.04e-01,4.99e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.14,0,0,0,0,0,0.55,0,1,1,1.79
Molecule 204,C=CC(=O)N1CCC(CC1)n1ncc(c1)Cl,C11H14ClN3O,239.7,16,5,0.45,3,2,0,66.57,38.13,2.3,1.4,1.51,1.37,1.39,1.59,-2.24,1.37e+00,5.74e-03,Soluble,-1.8,3.76e+00,1.57e-02,Very soluble,-1.92,2.88e+00,1.20e-02,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.77,0,0,0,0,0,0.55,0,1,1,1.98
Molecule 205,C=CC(=O)NCCc1cnc2n(c1)ncc2Cl,C11H11ClN4O,250.68,17,9,0.18,5,3,1,64.72,59.29,1.86,1.12,1.23,1.27,1.59,1.41,-2.16,1.73e+00,6.89e-03,Soluble,-1.96,2.76e+00,1.10e-02,Very soluble,-3.59,6.43e-02,2.56e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,1,0,2.2
Molecule 206,ClCC(=O)N(C1=CCCCC1)C1CC1,C11H16ClNO,213.7,14,0,0.73,4,1,0,58.18,20.31,2.49,2.53,2.61,2.25,2.44,2.46,-2.49,6.84e-01,3.20e-03,Soluble,-2.6,5.33e-01,2.49e-03,Soluble,-2.21,1.32e+00,6.17e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.81,0,0,0,0,0,0.55,0,1,1,2.89
Molecule 207,ClCC(=O)N(C1CCS(=O)(=O)C1)C1CCCC1,C11H18ClNO3S,279.78,17,0,0.91,4,3,0,67.62,62.83,1.72,1.19,2.26,1.23,1.4,1.56,-2.06,2.43e+00,8.70e-03,Soluble,-2.11,2.19e+00,7.84e-03,Soluble,-2.15,2.00e+00,7.16e-03,Soluble,High,Yes,No,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,3.19
Molecule 208,ClCC(=O)N(C1CC1)Cc1cscc1,C10H12ClNOS,229.73,14,5,0.5,5,1,0,59.1,48.55,2.16,2.07,2.26,1.82,3.34,2.33,-2.5,7.22e-01,3.14e-03,Soluble,-2.72,4.39e-01,1.91e-03,Soluble,-2.98,2.38e-01,1.04e-03,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.23,0,0,0,0,0,0.55,0,1,1,2.2
Molecule 209,ClCC(=O)N1c2ccccc2NC(=O)C21CCCC2,C14H15ClN2O2,278.73,19,6,0.43,2,2,1,80.87,49.41,2.17,1.94,1.57,1.98,2.35,2,-2.89,3.57e-01,1.28e-03,Soluble,-2.6,6.97e-01,2.50e-03,Soluble,-4.29,1.43e-02,5.13e-05,Moderately soluble,High,Yes,Yes,Yes,No,Yes,No,No,-6.62,0,0,0,0,0,0.55,0,1,0,2.78
Molecule 210,ClCC(=O)N1CCC(=CC1)c1c[nH]c2c1cccc2,C15H15ClN2O,274.75,19,9,0.27,3,1,1,82.12,36.1,2.08,2.34,2.64,2.24,3.53,2.57,-3.17,1.86e-01,6.76e-04,Soluble,-2.74,5.03e-01,1.83e-03,Soluble,-4.73,5.15e-03,1.87e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-6.31,0,0,0,0,0,0.55,0,1,0,2.77
Molecule 211,ClCC(=O)N1CCC(CC1)C(=O)N1CCCCCC1,C14H23ClN2O2,286.8,19,0,0.86,4,2,0,84,40.62,2.56,1.5,1.1,1.71,2.11,1.8,-2.3,1.44e+00,5.02e-03,Soluble,-1.96,3.14e+00,1.09e-02,Very soluble,-2.29,1.47e+00,5.12e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.98,0,0,0,0,0,0.55,0,1,0,2.27
Molecule 212,ClCC(=O)N1CCC(CC1)c1nc2c(o1)cccc2,C14H15ClN2O2,278.73,19,9,0.43,3,3,0,77.51,46.34,2.56,2.46,2.39,1.89,2.86,2.43,-3.27,1.50e-01,5.36e-04,Soluble,-3.08,2.33e-01,8.37e-04,Soluble,-4.38,1.18e-02,4.22e-05,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,No,-6.25,0,0,0,0,0,0.55,0,1,0,2.68
Molecule 213,ClCC(=O)N1CCc2c(C1)c1ccccc1[nH]2,C13H13ClN2O,248.71,17,9,0.31,2,1,1,72.34,36.1,1.87,2.04,1.76,1.81,3.23,2.14,-2.93,2.94e-01,1.18e-03,Soluble,-2.43,9.32e-01,3.75e-03,Soluble,-4.42,9.35e-03,3.76e-05,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,No,-6.37,0,0,0,0,0,0.55,1,1,1,2.04
Molecule 214,ClCC(=O)N1CCc2c(C1)ccs2,C9H10ClNOS,215.7,13,5,0.44,2,1,0,58.37,48.55,1.96,1.59,1.34,1.53,3.3,1.95,-2.33,1.01e+00,4.66e-03,Soluble,-2.22,1.30e+00,6.02e-03,Soluble,-2.81,3.35e-01,1.55e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.49,0,0,0,0,0,0.55,0,1,1,2.37
Molecule 215,ClCC(=O)N1CCCC1=O,C6H8ClNO2,161.59,10,0,0.67,2,2,0,40.85,37.38,1.47,0.97,-0.01,0.65,1.15,0.85,-1.32,7.72e+00,4.78e-02,Very soluble,-1.34,7.34e+00,4.54e-02,Very soluble,-1.17,1.08e+01,6.71e-02,Soluble,High,No,No,No,No,No,No,No,-6.6,0,1,0,0,1,0.55,0,1,1,1.28
Molecule 216,ClCC(=O)N1CCCC1c1cscc1,C10H12ClNOS,229.73,14,5,0.5,3,1,0,63.01,48.55,2.17,2.04,1.95,1.82,3.38,2.27,-2.62,5.56e-01,2.42e-03,Soluble,-2.69,4.72e-01,2.05e-03,Soluble,-2.86,3.19e-01,1.39e-03,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.25,0,0,0,0,0,0.55,0,1,1,2.69
Molecule 217,ClCC(=O)N1CCCC2C1CCCC2,C11H18ClNO,215.72,14,0,0.91,2,1,0,62.57,20.31,2.38,2.54,2.03,2.35,2.33,2.33,-2.65,4.88e-01,2.26e-03,Soluble,-2.61,5.25e-01,2.44e-03,Soluble,-2.23,1.27e+00,5.90e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.81,0,0,0,0,0,0.55,0,1,1,2.52
Molecule 218,ClCC(=O)N1CCCCCCC1,C9H16ClNO,189.68,12,0,0.89,2,1,0,55.07,20.31,2.13,2.09,1.64,1.78,2.23,1.98,-2.2,1.19e+00,6.30e-03,Soluble,-2.15,1.35e+00,7.14e-03,Soluble,-2.13,1.39e+00,7.35e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.97,0,0,0,0,1,0.55,0,1,1,1.61
Molecule 219,ClCC(=O)NC(C1CC1)C1CC1,C9H14ClNO,187.67,12,0,0.89,5,1,1,48.95,29.1,1.93,1.72,1.4,1.78,2.27,1.82,-1.76,3.28e+00,1.75e-02,Very soluble,-1.95,2.12e+00,1.13e-02,Very soluble,-2.15,1.33e+00,7.08e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.22,0,0,0,0,1,0.55,0,1,1,1.55
Molecule 220,ClCC(=O)NC1(CCCC1)C#N,C8H11ClN2O,186.64,12,0,0.75,3,2,1,46.04,52.89,1.18,1.01,1.18,0.49,1.68,1.11,-1.44,6.85e+00,3.67e-02,Very soluble,-1.71,3.64e+00,1.95e-02,Very soluble,-2.37,8.05e-01,4.32e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,0,0,0,1,0.55,0,1,1,1.7
Molecule 221,ClCC(=O)NC1(CCCC1)c1ccc2c(c1)OCCO2,C15H18ClNO3,295.76,20,6,0.53,4,3,1,76.69,47.56,2.45,2.43,2.47,1.91,3.58,2.57,-3.16,2.03e-01,6.88e-04,Soluble,-3.07,2.51e-01,8.48e-04,Soluble,-4.82,4.50e-03,1.52e-05,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,No,-6.38,0,0,0,0,0,0.55,0,1,0,2.41
Molecule 222,ClCC(=O)Nc1c(C#N)cnn1c1ccccc1,C12H9ClN4O,260.68,18,11,0.08,4,3,1,67.39,70.71,1.47,2.29,1.73,1.24,1.53,1.65,-3.09,2.13e-01,8.18e-04,Soluble,-3.41,1.01e-01,3.87e-04,Soluble,-4.04,2.39e-02,9.16e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,1,0,2.33
Molecule 223,ClCC(=O)Nc1scc(n1)c1cccs1,C9H7ClN2OS2,258.75,15,10,0.11,4,2,1,64.54,98.47,1.34,2.46,2.86,1.11,4.37,2.43,-3.22,1.55e-01,5.98e-04,Soluble,-4.17,1.74e-02,6.73e-05,Moderately soluble,-4.11,2.03e-02,7.85e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.13,0,0,0,0,0,0.55,0,1,0,2.87
Molecule 224,ClCC(=O)NC1CCC2(CC1)OCCO2,C10H16ClNO3,233.69,15,0,0.9,3,3,1,55.96,47.56,2.03,0.89,1.03,0.75,1.81,1.3,-1.65,5.21e+00,2.23e-02,Very soluble,-1.47,7.85e+00,3.36e-02,Very soluble,-2.37,1.01e+00,4.31e-03,Soluble,High,Yes,Yes,No,No,No,No,No,-7.09,0,0,0,0,0,0.55,0,1,1,2.65
Molecule 225,ClCC(=O)NC1CCCCNC1=O,C8H13ClN2O2,204.65,13,0,0.75,3,2,2,53.17,58.2,1.48,0.39,-0.37,0.05,1.05,0.52,-1.16,1.43e+01,6.97e-02,Very soluble,-1.18,1.36e+01,6.64e-02,Very soluble,-2.28,1.06e+00,5.20e-03,Soluble,High,No,No,No,No,No,No,No,-7.27,0,0,0,0,0,0.55,0,1,1,2.33
Molecule 226,ClCC(=O)NC1CCN(CC1)C(=O)C1CCCCC1,C14H23ClN2O2,286.8,19,0,0.86,5,2,1,79.99,49.41,2.41,2.3,1.53,1.71,2.18,2.03,-2.74,5.25e-01,1.83e-03,Soluble,-2.98,3.03e-01,1.06e-03,Soluble,-2.77,4.81e-01,1.68e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.42,0,0,0,0,0,0.55,0,1,0,2.32
Molecule 227,ClCC(=O)NC1CCOc2c1cccc2,C11H12ClNO2,225.67,15,6,0.36,3,2,1,58,38.33,1.88,1.79,1.54,1.45,2.33,1.8,-2.46,7.74e-01,3.43e-03,Soluble,-2.21,1.38e+00,6.11e-03,Soluble,-3.77,3.87e-02,1.71e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,1,1,2.47
Molecule 228,ClCC(=O)Nc1cccc(c1)S(=O)(=O)F,C8H7ClFNO3S,251.66,15,6,0.12,4,4,1,53.89,71.62,0.87,1.61,2.83,1.18,1.22,1.54,-2.45,9.00e-01,3.58e-03,Soluble,-2.73,4.73e-01,1.88e-03,Soluble,-3.63,5.93e-02,2.36e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.69,0,0,0,0,0,0.55,0,1,0,2.08
Molecule 229,ClCC(=O)Nc1cc(Cl)ccc1C#N,C9H6Cl2N2O,229.06,14,6,0.11,3,2,1,55.28,52.89,1.67,2.93,2.2,1.74,2.54,2.22,-3.23,1.36e-01,5.95e-04,Soluble,-3.7,4.55e-02,1.98e-04,Soluble,-4.13,1.71e-02,7.45e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.62,0,0,0,0,0,0.55,0,1,1,1.8
Molecule 230,ClCC(=O)Nc1cc(Cl)ccc1n1cncn1,C10H8Cl2N4O,271.1,17,11,0.1,4,3,1,65.48,59.81,1.99,2.09,1.91,1.72,1.65,1.87,-3.05,2.40e-01,8.86e-04,Soluble,-2.98,2.87e-01,1.06e-03,Soluble,-4.19,1.74e-02,6.43e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.47,0,0,0,0,0,0.55,0,1,0,2.13
Molecule 231,ClCC(=O)Nc1cc2OCCCOc2cc1Cl,C11H11Cl2NO3,276.12,17,6,0.36,3,3,1,66.24,47.56,2.25,2.42,2.49,1.67,3.03,2.37,-3.14,2.00e-01,7.25e-04,Soluble,-3.06,2.40e-01,8.69e-04,Soluble,-4.34,1.25e-02,4.53e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.27,0,0,0,0,0,0.55,0,1,0,2.41
Molecule 232,ClCC(=O)Nc1cc2OCCOc2cc1Cl,C10H9Cl2NO3,262.09,16,6,0.3,3,3,1,61.43,47.56,2.18,2.06,2.1,1.4,2.79,2.1,-2.84,3.77e-01,1.44e-03,Soluble,-2.69,5.38e-01,2.05e-03,Soluble,-4.07,2.24e-02,8.53e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.44,0,0,0,0,0,0.55,0,1,0,2.4
Molecule 233,ClCC(=O)Nc1ccc(cc1)N1CCCC1=O,C12H13ClN2O2,252.7,17,6,0.33,4,2,1,70.39,49.41,1.77,1.14,1.42,1.46,2.03,1.56,-2.12,1.91e+00,7.55e-03,Soluble,-1.77,4.27e+00,1.69e-02,Very soluble,-3.76,4.41e-02,1.75e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,1,0,1.51
