Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 85,C=CC(=O)NC(CCc1ccc2c(c1)OCO2)C,C14H17NO3,247.29,18,6,0.36,6,3,1,68.84,47.56,2.77,2.84,2.04,1.72,3.02,2.48,-3.01,2.40e-01,9.70e-04,Soluble,-3.5,7.87e-02,3.18e-04,Soluble,-3.85,3.51e-02,1.42e-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.79,0,0,0,0,0,0.55,0,1,1,2.67
Molecule 86,ClCC(=O)N(C(c1ccccc1)C)C,C11H14ClNO,211.69,14,6,0.36,4,1,0,58.53,20.31,2.17,2.24,2.12,2.45,2.33,2.26,-2.62,5.12e-01,2.42e-03,Soluble,-2.3,1.06e+00,4.99e-03,Soluble,-3.53,6.20e-02,2.93e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6,0,0,0,0,0,0.55,0,1,1,1.68
Molecule 87,CC(C(n1cncn1)C)NC(=O)C=C,C9H14N4O,194.23,14,5,0.44,5,3,1,52.65,59.81,1.43,0.68,0.53,0.2,0.23,0.61,-1.41,7.61e+00,3.92e-02,Very soluble,-1.51,5.96e+00,3.07e-02,Very soluble,-1.36,8.50e+00,4.38e-02,Soluble,High,No,No,No,No,No,No,No,-7,0,0,0,0,1,0.55,0,1,1,2.77
Molecule 88,C=CC(=O)NC(c1cc2c(o1)c(F)ccc2)C,C13H12FNO2,233.24,17,9,0.15,4,3,1,62.89,42.24,2.45,2.57,3.03,1.87,3.22,2.63,-3.03,2.16e-01,9.27e-04,Soluble,-3.11,1.83e-01,7.85e-04,Soluble,-4.46,8.16e-03,3.50e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.9,0,0,0,0,0,0.55,0,1,1,2.81
Molecule 89,C=CC(=O)NC(c1onc(n1)Cc1ccccc1)C,C14H15N3O2,257.29,19,11,0.21,6,4,1,70.47,68.02,2.64,2.24,1.7,0.97,2.67,2.04,-2.88,3.40e-01,1.32e-03,Soluble,-3.3,1.28e-01,4.97e-04,Soluble,-4.67,5.45e-03,2.12e-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-6.28,0,0,0,0,0,0.55,0,1,0,3.41
Molecule 90,C=CC(=O)NC(c1cccc(c1)N1CCCC1)C,C15H20N2O,244.33,18,6,0.4,5,1,1,77.81,32.34,2.47,2.64,1.94,2.15,2.76,2.39,-2.93,2.84e-01,1.16e-03,Soluble,-2.97,2.62e-01,1.07e-03,Soluble,-3.73,4.54e-02,1.86e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-5.92,0,0,0,0,0,0.55,0,1,1,2.29
Molecule 91,ClCC(=O)NC(c1cccs1)C,C8H10ClNOS,203.69,12,5,0.38,4,1,1,51.5,57.34,1.86,1.77,1.84,1.23,3.04,1.95,-2.26,1.11e+00,5.47e-03,Soluble,-2.59,5.21e-01,2.56e-03,Soluble,-3.13,1.51e-01,7.43e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.29,0,0,0,0,0,0.55,0,1,1,2.47
Molecule 92,ClCC(=O)NC(c1cccc(c1)Cl)C,C10H11Cl2NO,232.11,14,6,0.3,4,1,1,58.64,29.1,2.09,2.69,2.43,2.72,3.06,2.6,-3.03,2.18e-01,9.40e-04,Soluble,-2.95,2.58e-01,1.11e-03,Soluble,-4.48,7.74e-03,3.33e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.81,0,0,0,0,0,0.55,0,1,1,1.89
Molecule 93,ClCC(=O)NC(c1cccc2c1cccc2)C,C14H14ClNO,247.72,17,10,0.21,4,1,1,71.13,29.1,2.26,3.31,2.93,3.03,3.57,3.02,-3.63,5.77e-02,2.33e-04,Soluble,-3.6,6.26e-02,2.53e-04,Soluble,-5.54,7.23e-04,2.92e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-5.46,0,0,0,0,0,0.55,0,1,1,1.82
Molecule 94,C=CC(=O)Nc1ccc2c(c1)CCC(O2)(C)C,C14H17NO2,231.29,17,6,0.36,3,2,1,68.89,38.33,2.55,2.67,2.72,2.17,3.15,2.65,-3.02,2.21e-01,9.57e-04,Soluble,-3.13,1.73e-01,7.47e-04,Soluble,-4.18,1.51e-02,6.53e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.82,0,0,0,0,0,0.55,0,1,1,2.24
Molecule 95,C=CC(=O)NC1C(=O)NCC1(C)C,C9H14N2O2,182.22,13,0,0.56,3,2,2,52.45,58.2,1.43,0.47,-0.57,-0.05,0.85,0.43,-1.07,1.56e+01,8.55e-02,Very soluble,-1.26,9.99e+00,5.48e-02,Very soluble,-1.91,2.25e+00,1.23e-02,Soluble,High,No,No,No,No,No,No,No,-7.08,0,1,0,0,1,0.55,0,1,1,2.34
Molecule 96,C=CC(=O)N1CC(=O)NCC1(C)C,C9H14N2O2,182.22,13,0,0.56,2,2,1,56.75,49.41,1.66,0.05,-0.85,-0.05,0.82,0.33,-0.87,2.46e+01,1.35e-01,Very soluble,-0.64,4.17e+01,2.29e-01,Very soluble,-1.42,6.86e+00,3.77e-02,Soluble,High,No,No,No,No,No,No,No,-7.38,0,1,0,0,1,0.55,0,1,1,1.83
Molecule 97,C=CC(=O)N1CCC(C1)(C)C(=O)N,C9H14N2O2,182.22,13,0,0.56,3,2,1,52.45,63.4,1.41,-0.31,-0.48,-0.05,0.47,0.21,-0.58,4.83e+01,2.65e-01,Very soluble,-0.56,5.01e+01,2.75e-01,Very soluble,-0.69,3.75e+01,2.06e-01,Soluble,High,No,No,No,No,No,No,No,-7.63,0,1,0,0,1,0.55,0,1,1,2.31
Molecule 98,ClCC(=O)NC1(C)CCS(=O)(=O)C1,C7H12ClNO3S,225.69,13,0,0.86,3,3,1,50.45,71.62,0.7,-0.08,1,0.04,0.94,0.52,-0.99,2.30e+01,1.02e-01,Very soluble,-0.97,2.41e+01,1.07e-01,Very soluble,-2.32,1.08e+00,4.80e-03,Soluble,High,No,No,No,No,No,No,No,-7.73,0,0,0,0,0,0.55,0,1,1,2.94
